37751890,HGQ0131,000135
42302422,TAB4639,000089
37751890,RLQ7170,000135
47659552,HPP3360,000134
42302422,RWW7975,000089
37751890,VMW6915,000135
17750908,QBL9575,000026
42302422,KTA8754,000089
37751890,CRY6839,000081
47659552,KVL6246,000134
42302422,QBL9575,000044
17750908,DDQ0721,000026
37751890,WGA2754,000081
47659552,OCI8959,000134
42302422,WHU1288,000044
37751890,FNM6936,000081
14268463,BHD6079,000055
14268463,JLQ6546,000055
17750908,CKC4095,000026
17750908,XJT3661,000026
14268463,IUG2294,000060
81462164,YZV6954,000078
37328103,EZP0333,000122
37751890,SQB7146,000034
81462164,EZP0333,000002
37328103,YJI3961,000122
37328103,MBQ9495,000086
37751890,YZV6954,000034
81462164,QKH2262,000078
37328103,CST1133,000150
42302422,UEJ1235,000099
81462164,CLG5566,000002


